2016/01/25 08:44:41 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2016/01/25 08:44:41 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/01/25 08:44:41 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/01/25 08:44:41 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2016/01/25 08:44:43 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-1 
2016/01/25 08:44:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2016/01/25 08:44:43 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/01/25 08:44:43 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2016/01/25 08:44:49 INFO  - jmeter.protocol.http.proxy.Proxy: [4527] KeyStore for SSL loaded OK and put host 'connect.facebook.net' in map with key (connect.facebook.net) 
2016/01/25 08:44:49 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4514] Creating entry 0-edge-chat.facebook.com in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:44:49 WARN  - jmeter.protocol.http.proxy.Proxy: [4527] Problem with SSL certificate for 'connect.facebook.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:45:19 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4513] Creating entry safebrowsing.google.com in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:45:19 INFO  - jmeter.protocol.http.proxy.Proxy: [4514] KeyStore for SSL loaded OK and put host '0-edge-chat.facebook.com' in map with key (0-edge-chat.facebook.com) 
2016/01/25 08:45:19 WARN  - jmeter.protocol.http.proxy.Proxy: [4514] Problem with SSL certificate for '0-edge-chat.facebook.com'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:45:32 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/01/25 08:45:32 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/01/25 08:45:32 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/01/25 08:45:32 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2016/01/25 08:45:32 INFO  - jmeter.engine.StandardJMeterEngine: Starting 5 threads for group Thread Group. 
2016/01/25 08:45:32 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
